;mode: matches	thresholds:	cor=-1.000000	ncor=-1.000000	w=0	ncor1=-1.000000	ncor2=-1.000000
#id1	id2	name1	name2	cor	Ncor	Ncor1	Ncor2	w1	w2	w	W	Wr	wr1	wr2	strand	offset	uncounted
Unkown_motifs_m13	Unkown_motifs_m22	Unkown_motifs_m13	Unkown_motifs_m22	0.251396	0.179568	0.251396	0.179568	15	21	15	21	0.714286	1.000000	0.714286	D	-5	69
Unkown_motifs_m13	Unkown_motifs_m23	Unkown_motifs_m13	Unkown_motifs_m23	0.281943	0.263147	0.263147	0.281943	15	14	14	15	0.933333	0.933333	1.000000	D	1	55
Unkown_motifs_m13	Unkown_motifs_m24	Unkown_motifs_m13	Unkown_motifs_m24	0.283083	0.216475	0.245338	0.245338	15	15	13	17	0.764706	0.866667	0.866667	D	-2	57
Unkown_motifs_m13	Unkown_motifs_m25	Unkown_motifs_m13	Unkown_motifs_m25	0.277473	0.228507	0.258975	0.242789	15	16	14	17	0.823529	0.933333	0.875000	D	-2	59
Unkown_motifs_m13	Unkown_motifs_m26	Unkown_motifs_m13	Unkown_motifs_m26	0.276260	0.211257	0.239425	0.239425	15	15	13	17	0.764706	0.866667	0.866667	D	2	57
Unkown_motifs_m13	Unkown_motifs_m27	Unkown_motifs_m13	Unkown_motifs_m27	0.285701	0.218477	0.247608	0.247608	15	15	13	17	0.764706	0.866667	0.866667	D	2	57
Unkown_motifs_m13	Unkown_motifs_m28	Unkown_motifs_m13	Unkown_motifs_m28	0.286390	0.206837	0.248205	0.232692	15	16	13	18	0.722222	0.866667	0.812500	D	2	59
Unkown_motifs_m13	Unkown_motifs_m29	Unkown_motifs_m13	Unkown_motifs_m29	0.272133	0.204099	0.272133	0.204099	15	20	15	20	0.750000	1.000000	0.750000	R	0	67
Unkown_motifs_m13	Unkown_motifs_m30	Unkown_motifs_m13	Unkown_motifs_m30	0.382769	0.121790	0.178626	0.191385	15	14	7	22	0.318182	0.466667	0.500000	R	-7	55
Unkown_motifs_m13	Unkown_motifs_m31	Unkown_motifs_m13	Unkown_motifs_m31	0.246827	0.168291	0.246827	0.168291	15	22	15	22	0.681818	1.000000	0.681818	R	-1	71
Unkown_motifs_m13	Unkown_motifs_m32	Unkown_motifs_m13	Unkown_motifs_m32	0.249399	0.178142	0.249399	0.178142	15	21	15	21	0.714286	1.000000	0.714286	R	-5	69
Unkown_motifs_m13	Unkown_motifs_m33	Unkown_motifs_m13	Unkown_motifs_m33	0.210168	0.210168	0.210168	0.210168	15	15	15	15	1.000000	1.000000	1.000000	D	0	57
Unkown_motifs_m14	Unkown_motifs_m1	Unkown_motifs_m14	Unkown_motifs_m1	0.990701	0.990701	0.990701	0.990701	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m14	Unkown_motifs_m2	Unkown_motifs_m14	Unkown_motifs_m2	0.422832	0.269075	0.295982	0.369978	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m14	Unkown_motifs_m3	Unkown_motifs_m14	Unkown_motifs_m3	0.410802	0.261419	0.287561	0.359451	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m14	Unkown_motifs_m4	Unkown_motifs_m14	Unkown_motifs_m4	0.821728	0.483369	0.821728	0.483369	10	17	10	17	0.588235	1.000000	0.588235	D	-3	51
Unkown_motifs_m14	Unkown_motifs_m5	Unkown_motifs_m14	Unkown_motifs_m5	0.926266	0.771888	0.926266	0.771888	10	12	10	12	0.833333	1.000000	0.833333	D	-2	41
Unkown_motifs_m14	Unkown_motifs_m6	Unkown_motifs_m14	Unkown_motifs_m6	0.341686	0.227790	0.273348	0.273348	10	10	8	12	0.666667	0.800000	0.800000	R	2	37
Unkown_motifs_m14	Unkown_motifs_m7	Unkown_motifs_m14	Unkown_motifs_m7	0.410183	0.261026	0.287128	0.358910	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m14	Unkown_motifs_m8	Unkown_motifs_m14	Unkown_motifs_m8	0.324316	0.227021	0.227021	0.324316	10	7	7	10	0.700000	0.700000	1.000000	D	3	31
Unkown_motifs_m14	Unkown_motifs_m9	Unkown_motifs_m14	Unkown_motifs_m9	0.398977	0.253894	0.279284	0.349105	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m14	Unkown_motifs_m10	Unkown_motifs_m14	Unkown_motifs_m10	0.387946	0.258631	0.310357	0.310357	10	10	8	12	0.666667	0.800000	0.800000	D	2	37
Unkown_motifs_m14	Unkown_motifs_m11	Unkown_motifs_m14	Unkown_motifs_m11	0.927096	0.842815	0.927096	0.842815	10	11	10	11	0.909091	1.000000	0.909091	D	-1	39
Unkown_motifs_m14	Unkown_motifs_m12	Unkown_motifs_m14	Unkown_motifs_m12	0.982702	0.982702	0.982702	0.982702	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m14	Unkown_motifs_m13	Unkown_motifs_m14	Unkown_motifs_m13	0.812568	0.541712	0.812568	0.541712	10	15	10	15	0.666667	1.000000	0.666667	D	-2	47
Unkown_motifs_m14	Unkown_motifs_m14	Unkown_motifs_m14	Unkown_motifs_m14	1.000000	1.000000	1.000000	1.000000	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m14	Unkown_motifs_m15	Unkown_motifs_m14	Unkown_motifs_m15	0.984698	0.984698	0.984698	0.984698	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m14	Unkown_motifs_m16	Unkown_motifs_m14	Unkown_motifs_m16	0.847364	0.770331	0.847364	0.770331	10	11	10	11	0.909091	1.000000	0.909091	D	-1	39
Unkown_motifs_m14	Unkown_motifs_m17	Unkown_motifs_m14	Unkown_motifs_m17	0.223328	0.200995	0.200995	0.223328	10	9	9	10	0.900000	0.900000	1.000000	R	1	35
Unkown_motifs_m14	Unkown_motifs_m18	Unkown_motifs_m14	Unkown_motifs_m18	0.390143	0.248273	0.273100	0.341375	10	8	7	11	0.636364	0.700000	0.875000	R	3	33
Unkown_motifs_m14	Unkown_motifs_m19	Unkown_motifs_m14	Unkown_motifs_m19	0.921296	0.767747	0.921296	0.767747	10	12	10	12	0.833333	1.000000	0.833333	D	-2	41
Unkown_motifs_m14	Unkown_motifs_m20	Unkown_motifs_m14	Unkown_motifs_m20	0.397913	0.244870	0.318330	0.289391	10	11	8	13	0.615385	0.800000	0.727273	R	2	39
Unkown_motifs_m14	Unkown_motifs_m21	Unkown_motifs_m14	Unkown_motifs_m21	0.441471	0.128762	0.309030	0.147157	10	21	7	24	0.291667	0.700000	0.333333	R	-14	59
Unkown_motifs_m14	Unkown_motifs_m22	Unkown_motifs_m14	Unkown_motifs_m22	0.328064	0.156221	0.328064	0.156221	10	21	10	21	0.476190	1.000000	0.476190	D	-9	59
Unkown_motifs_m14	Unkown_motifs_m23	Unkown_motifs_m14	Unkown_motifs_m23	0.585275	0.195092	0.351165	0.250832	10	14	6	18	0.333333	0.600000	0.428571	D	-8	45
Unkown_motifs_m14	Unkown_motifs_m24	Unkown_motifs_m14	Unkown_motifs_m24	0.269195	0.179463	0.269195	0.179463	10	15	10	15	0.666667	1.000000	0.666667	D	-5	47
Unkown_motifs_m14	Unkown_motifs_m25	Unkown_motifs_m14	Unkown_motifs_m25	0.268234	0.167646	0.268234	0.167646	10	16	10	16	0.625000	1.000000	0.625000	D	-5	49
Unkown_motifs_m14	Unkown_motifs_m26	Unkown_motifs_m14	Unkown_motifs_m26	0.390763	0.183888	0.312610	0.208407	10	15	8	17	0.470588	0.800000	0.533333	D	-7	47
Unkown_motifs_m14	Unkown_motifs_m27	Unkown_motifs_m14	Unkown_motifs_m27	0.381161	0.179370	0.304929	0.203286	10	15	8	17	0.470588	0.800000	0.533333	D	-7	47
Unkown_motifs_m14	Unkown_motifs_m28	Unkown_motifs_m14	Unkown_motifs_m28	0.295102	0.156230	0.265592	0.165995	10	16	9	17	0.529412	0.900000	0.562500	D	-7	49
Unkown_motifs_m14	Unkown_motifs_m29	Unkown_motifs_m14	Unkown_motifs_m29	0.257474	0.128737	0.257474	0.128737	10	20	10	20	0.500000	1.000000	0.500000	D	0	57
Unkown_motifs_m14	Unkown_motifs_m30	Unkown_motifs_m14	Unkown_motifs_m30	0.343821	0.206293	0.309439	0.221028	10	14	9	15	0.600000	0.900000	0.642857	D	1	45
Unkown_motifs_m14	Unkown_motifs_m31	Unkown_motifs_m14	Unkown_motifs_m31	0.287997	0.130908	0.287997	0.130908	10	22	10	22	0.454545	1.000000	0.454545	D	-1	61
Unkown_motifs_m14	Unkown_motifs_m32	Unkown_motifs_m14	Unkown_motifs_m32	0.271300	0.129191	0.271300	0.129191	10	21	10	21	0.476190	1.000000	0.476190	R	-8	59
Unkown_motifs_m14	Unkown_motifs_m33	Unkown_motifs_m14	Unkown_motifs_m33	0.300199	0.168862	0.270179	0.180120	10	15	9	16	0.562500	0.900000	0.600000	D	-6	47
Unkown_motifs_m15	Unkown_motifs_m1	Unkown_motifs_m15	Unkown_motifs_m1	0.978828	0.978828	0.978828	0.978828	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m15	Unkown_motifs_m2	Unkown_motifs_m15	Unkown_motifs_m2	0.398384	0.253517	0.278869	0.348586	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m15	Unkown_motifs_m3	Unkown_motifs_m15	Unkown_motifs_m3	0.393109	0.250160	0.275176	0.343970	10	8	7	11	0.636364	0.700000	0.875000	R	3	33
Unkown_motifs_m15	Unkown_motifs_m4	Unkown_motifs_m15	Unkown_motifs_m4	0.814199	0.478940	0.814199	0.478940	10	17	10	17	0.588235	1.000000	0.588235	D	-3	51
Unkown_motifs_m15	Unkown_motifs_m5	Unkown_motifs_m15	Unkown_motifs_m5	0.912138	0.760115	0.912138	0.760115	10	12	10	12	0.833333	1.000000	0.833333	D	-2	41
Unkown_motifs_m15	Unkown_motifs_m6	Unkown_motifs_m15	Unkown_motifs_m6	0.313433	0.208955	0.250746	0.250746	10	10	8	12	0.666667	0.800000	0.800000	R	2	37
Unkown_motifs_m15	Unkown_motifs_m7	Unkown_motifs_m15	Unkown_motifs_m7	0.416106	0.264795	0.291275	0.364093	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m15	Unkown_motifs_m8	Unkown_motifs_m15	Unkown_motifs_m8	0.360832	0.252583	0.252583	0.360832	10	7	7	10	0.700000	0.700000	1.000000	D	3	31
Unkown_motifs_m15	Unkown_motifs_m9	Unkown_motifs_m15	Unkown_motifs_m9	0.407244	0.259155	0.285071	0.356339	10	8	7	11	0.636364	0.700000	0.875000	D	3	33
Unkown_motifs_m15	Unkown_motifs_m10	Unkown_motifs_m15	Unkown_motifs_m10	0.361648	0.241099	0.289318	0.289318	10	10	8	12	0.666667	0.800000	0.800000	D	2	37
Unkown_motifs_m15	Unkown_motifs_m11	Unkown_motifs_m15	Unkown_motifs_m11	0.922384	0.838531	0.922384	0.838531	10	11	10	11	0.909091	1.000000	0.909091	D	-1	39
Unkown_motifs_m15	Unkown_motifs_m12	Unkown_motifs_m15	Unkown_motifs_m12	0.989696	0.989696	0.989696	0.989696	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m15	Unkown_motifs_m13	Unkown_motifs_m15	Unkown_motifs_m13	0.785939	0.523959	0.785939	0.523959	10	15	10	15	0.666667	1.000000	0.666667	D	-2	47
Unkown_motifs_m15	Unkown_motifs_m14	Unkown_motifs_m15	Unkown_motifs_m14	0.984698	0.984698	0.984698	0.984698	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m15	Unkown_motifs_m15	Unkown_motifs_m15	Unkown_motifs_m15	1.000000	1.000000	1.000000	1.000000	10	10	10	10	1.000000	1.000000	1.000000	D	0	37
Unkown_motifs_m15	Unkown_motifs_m16	Unkown_motifs_m15	Unkown_motifs_m16	0.862391	0.783992	0.862391	0.783992	10	11	10	11	0.909091	1.000000	0.909091	D	-1	39
Unkown_motifs_m15	Unkown_motifs_m17	Unkown_motifs_m15	Unkown_motifs_m17	0.191779	0.172601	0.172601	0.191779	10	9	9	10	0.900000	0.900000	1.000000	R	1	35
Unkown_motifs_m15	Unkown_motifs_m18	Unkown_motifs_m15	Unkown_motifs_m18	0.369230	0.234965	0.258461	0.323076	10	8	7	11	0.636364	0.700000	0.875000	R	3	33
Unkown_motifs_m15	Unkown_motifs_m19	Unkown_motifs_m15	Unkown_motifs_m19	0.892614	0.743845	0.892614	0.743845	10	12	10	12	0.833333	1.000000	0.833333	D	-2	41
Unkown_motifs_m15	Unkown_motifs_m20	Unkown_motifs_m15	Unkown_motifs_m20	0.361299	0.222338	0.289040	0.262763	10	11	8	13	0.615385	0.800000	0.727273	R	2	39
